Hertz,volumen,Imagenes,Random,Correcto,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,mensaje_intro.started,mensaje_intro.stopped,mensaje_intro_2.started,mensaje_intro_2.stopped,textbox_prueba.started,textbox_prueba.stopped,sonido_prueba.started,sonido_prueba.stopped,image_prueba.started,image_prueba.stopped,slider_prueba.response,slider_prueba.rt,slider_prueba.started,slider_prueba.stopped,sonido_prueba_2.started,sonido_prueba_2.stopped,image_prueba_2.started,image_prueba_2.stopped,slider_prueba_2.response,slider_prueba_2.rt,slider_prueba_2.started,slider_prueba_2.stopped,sonido_exp.started,sonido_exp.stopped,image_exp.started,image_exp.stopped,slider_exp.response,slider_exp.rt,slider_exp.started,slider_exp.stopped,participant,session,date,expName,psychopyVersion,frameRate,
1000,0.02,imagenes/Brownie.jpg,0.2838924074864093,None,0,0,0,2,0,24,24,3,,,,,,,,,,,,,,,,,,,,,,,54.357401519996344,55.35779390000971,55.35779390000971,None,5.9609375,1.3383002000045963,55.35779390000971,None,d,001,2021_Jan_08_1839,piloto1,2020.2.5,59.53068389936787,
1000,0.02,imagenes/pistachos.jpg,0.7450869742741464,None,0,0,0,2,0,25,25,30,,,,,,,,,,,,,,,,,,,,,,,55.724566459996275,56.72428540000692,56.70736559998477,None,5.9609375,1.2298061000183225,56.70736559998477,None,d,001,2021_Jan_08_1839,piloto1,2020.2.5,59.53068389936787,
1000,0.02,imagenes/Pepinillos.png,0.0038966441241518046,None,0,0,0,2,0,26,26,28,,,,,,,,,,,,,,,,,,,,,,,56.99074292000732,57.99096309999004,57.97431530000176,None,5.9609375,1.1953992000198923,57.97431530000176,None,d,001,2021_Jan_08_1839,piloto1,2020.2.5,59.53068389936787,
1000,0.02,imagenes/Galletas Tosh.jpg,0.9129693753280027,None,0,0,0,2,0,27,27,6,,,,,,,,,,,,,,,,,,,,,,,58.224347419990224,59.22409569998854,59.22409569998854,None,5.9609375,1.241081199987093,59.22409569998854,None,d,001,2021_Jan_08_1839,piloto1,2020.2.5,59.53068389936787,
1000,0.02,imagenes/Nutella (1).jpg,0.8826531883338111,None,0,0,0,2,0,28,28,12,,,,,,,,,,,,,,,,,,,,,,,59.4910798600089,60.490958399983356,60.490958399983356,None,5.9609375,1.273872499994468,60.490958399983356,None,d,001,2021_Jan_08_1839,piloto1,2020.2.5,59.53068389936787,
1000,0.02,imagenes/Papas-limon.jpg,0.5280798509093595,None,0,0,0,2,0,29,29,14,,,,,,,,,,,,,,,,,,,,,,,60.790804459995705,61.79103769999347,61.79103769999347,None,5.9609375,1.3400547999772243,61.79103769999347,None,d,001,2021_Jan_08_1839,piloto1,2020.2.5,59.53068389936787,
1000,0.02,imagenes/Pescadito.png,0.7172825011486081,None,0,0,0,2,0,30,30,29,,,,,,,,,,,,,,,,,,,,,,,62.17407272000564,None,63.140883199987,None,5.9609375,1.2536868999886792,63.140883199987,None,d,001,2021_Jan_08_1839,piloto1,2020.2.5,59.53068389936787,
1000,0.02,imagenes/Chocoramo.jfif.jpg,0.7425528559884101,None,0,0,0,2,0,31,31,4,,,,,,,,,,,,,,,,,,,,,,,63.45779331998783,64.4591003000096,64.4591003000096,None,5.9609375,1.2584317000000738,64.4591003000096,None,d,001,2021_Jan_08_1839,piloto1,2020.2.5,59.53068389936787,
1000,0.02,imagenes/Popetas.jpg,0.9621625733302204,None,0,0,0,2,0,32,32,16,,,,,,,,,,,,,,,,,,,,,,,64.77405998000468,65.7740361999895,65.7740361999895,None,5.9609375,1.8559081999992486,65.7740361999895,None,d,001,2021_Jan_08_1839,piloto1,2020.2.5,59.53068389936787,
1000,0.02,imagenes/Muffin de banano.png,0.9610615059009696,None,0,0,0,2,0,33,33,25,,,,,,,,,,,,,,,,,,,,,,,66.69103928000841,None,67.65816150000319,None,5.9609375,1.2866313999984413,67.65816150000319,None,d,001,2021_Jan_08_1839,piloto1,2020.2.5,59.53068389936787,
