Hertz,volumen,Imagenes,Random,Correcto,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,mensaje_intro.started,mensaje_intro.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,mensaje_intro_2.started,mensaje_intro_2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,text_prueba.started,text_prueba.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,sonido_prueba.started,sonido_prueba.stopped,image_prueba.started,image_prueba.stopped,slider_prueba.response,slider_prueba.rt,slider_prueba.started,slider_prueba.stopped,sonido_prueba_2.started,sonido_prueba_2.stopped,image_prueba_2.started,image_prueba_2.stopped,slider_prueba_2.response,slider_prueba_2.rt,slider_prueba_2.started,slider_prueba_2.stopped,text_prueba_2.started,text_prueba_2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,sonido_exp.started,sonido_exp.stopped,image_exp.started,image_exp.stopped,slider_exp.response,slider_exp.rt,slider_exp.started,slider_exp.stopped,text_subasta1.started,text_subasta1.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,text_subasta2.started,text_subasta2.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,text.started,text.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.started,key_resp_7.stopped,text_4.started,text_4.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.started,key_resp_8.stopped,text_producto.started,text_producto.stopped,image.started,image.stopped,key_resp_9.keys,key_resp_9.rt,key_resp_9.started,key_resp_9.stopped,texto_final.started,texto_final.stopped,key_resp_10.keys,key_resp_10.rt,key_resp_10.started,key_resp_10.stopped,text_2.started,text_2.stopped,key_resp_11.keys,key_resp_11.rt,key_resp_11.started,key_resp_11.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,11.654761100013275,None,space,5.337202499969862,11.654761100013275,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,t,001,2021_Jan_09_0116,piloto1,2020.2.5,59.860489154847656,
,,,,,,,,,,,,,,,,,,,17.011725099990144,None,space,2.9649537000223063,17.011725099990144,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,t,001,2021_Jan_09_0116,piloto1,2020.2.5,59.860489154847656,
,,,,,,,,,,,,,,,,,,,,,,,,,19.994398800015915,None,space,1.4475281999912113,19.994398800015915,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,t,001,2021_Jan_09_0116,piloto1,2020.2.5,59.860489154847656,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.461161580024054,None,22.467153200006578,None,None,None,22.467153200006578,None,23.477468979981495,None,24.485454300011043,None,4.697916666666667,1.6188106999616139,24.485454300011043,None,25.11114870000165,None,space,2.492124199983664,25.11114870000165,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,t,001,2021_Jan_09_0116,piloto1,2020.2.5,59.860489154847656,
1500,0.02,imagenes/Yogurt-alpina.jpg,0.5445152936222175,None,0,0,0,1,0,0,0,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.711514680006076,None,28.693788899981882,None,None,None,28.693788899981882,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,t,001,2021_Jan_09_0116,piloto1,2020.2.5,59.860489154847656,
1500,0.02,imagenes/Rosquitas (1).jpg,0.024090340010977873,None,0,0,0,1,0,1,1,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.694198519981,None,30.677266300015617,None,3.44140625,1.3173859999515116,30.677266300015617,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,t,001,2021_Jan_09_0116,piloto1,2020.2.5,59.860489154847656,
1500,0.02,imagenes/Mango.jpeg,0.4341155418941499,None,0,0,0,1,0,2,2,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.043819059967063,None,32.04408690001583,None,3.604166666666667,1.1044458000105806,32.04408690001583,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,t,001,2021_Jan_09_0116,piloto1,2020.2.5,59.860489154847656,
1500,0.02,imagenes/bon-bon-bun.jpg,0.7417452724056987,None,0,0,0,1,0,3,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.210954839974875,33.210658200026955,33.210658200026955,None,3.604166666666667,1.1393872000044212,33.210658200026955,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,t,001,2021_Jan_09_0116,piloto1,2020.2.5,59.860489154847656,
1500,0.02,imagenes/Pizzetas.png,0.3295951589873042,None,0,0,0,1,0,4,4,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.3940720600076,None,34.39381420001155,None,3.604166666666667,1.1908168999943882,34.39381420001155,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,t,001,2021_Jan_09_0116,piloto1,2020.2.5,59.860489154847656,
1500,0.02,imagenes/Papas-pollo.jpg,0.08373485417902837,None,0,0,0,1,0,5,5,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.61088717999519,35.610800999973435,35.610800999973435,None,3.604166666666667,1.1588638999965042,35.610800999973435,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,t,001,2021_Jan_09_0116,piloto1,2020.2.5,59.860489154847656,
