Hertz,volumen,Imagenes,Random,Correcto,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,Sonido.started,Sonido.stopped,image_2.started,image_2.stopped,slider_2.response,slider_2.rt,slider_2.started,slider_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
1500,0.02,imagenes\Papas-pollo.jpg,0.6683114062971784,None,0,1,1,1,0,1,1,15,13.521806829993148,13.538789100013673,13.522044500015909,None,3.565104166666667,0.11094289997708984,13.522044500015909,None,h,001,2020_Oct_06_0921,piloto1,2020.2.3,59.904667714656135,
1500,0.02,imagenes\Papas-limon.jpg,0.020692288100133793,None,0,1,1,1,0,2,2,14,13.654893430013908,None,13.655041999998502,None,3.565104166666667,0.12665729998843744,13.655041999998502,None,h,001,2020_Oct_06_0921,piloto1,2020.2.3,59.904667714656135,
1500,0.02,imagenes\Galletas Tosh.jpg,0.478088790487872,None,0,1,1,1,0,3,3,6,13.82172846000758,None,13.814569500013022,None,3.565104166666667,0.10011780000058934,13.814569500013022,None,h,001,2020_Oct_06_0921,piloto1,2020.2.3,59.904667714656135,
1500,0.02,imagenes\Chocoramo.jfif.jpg,0.7789437122019539,None,0,1,1,1,0,4,4,4,13.971949990012218,None,13.974717300006887,None,3.565104166666667,0.089769799989881,13.974717300006887,None,h,001,2020_Oct_06_0921,piloto1,2020.2.3,59.904667714656135,
1500,0.02,imagenes\Brownie.jpg,0.17000143351927688,None,0,1,1,1,0,5,5,3,14.105288160016062,14.108974500006298,14.102761999994982,None,3.565104166666667,0.11145379999652505,14.102761999994982,None,h,001,2020_Oct_06_0921,piloto1,2020.2.3,59.904667714656135,
1500,0.02,imagenes\Galletas-festival.jpg,0.36121121246191135,None,0,1,1,1,0,6,6,7,14.238589930004673,14.255497000005562,14.242262899992056,None,3.565104166666667,0.12177200001315214,14.242262899992056,None,h,001,2020_Oct_06_0921,piloto1,2020.2.3,59.904667714656135,
1500,0.02,imagenes\Mango.jpeg,0.555669112372461,None,0,1,1,1,0,7,7,10,14.388498730002903,14.405011599999852,14.390472099999897,None,3.565104166666667,0.12251990000368096,14.390472099999897,None,h,001,2020_Oct_06_0921,piloto1,2020.2.3,59.904667714656135,
1500,0.02,imagenes\Nutella (1).jpg,0.5277483225747329,None,0,1,1,1,0,8,8,12,14.53855473001604,14.555130499997176,14.538796100008767,None,3.565104166666667,0.1267574999947101,14.538796100008767,None,h,001,2020_Oct_06_0921,piloto1,2020.2.3,59.904667714656135,
1500,0.02,imagenes\Manzana.jpg,0.5168162194437935,None,0,1,1,1,0,9,9,11,14.705217260005885,14.714840200002072,14.708930199994938,None,3.565104166666667,0.08918529999209568,14.708930199994938,None,h,001,2020_Oct_06_0921,piloto1,2020.2.3,59.904667714656135,
1500,0.02,imagenes\Papas-naturales.jpg,0.15856838916280946,None,0,1,1,1,0,10,10,13,14.8382382600219,14.838263500016183,14.829207500006305,None,3.565104166666667,0.10199729999294505,14.829207500006305,None,h,001,2020_Oct_06_0921,piloto1,2020.2.3,59.904667714656135,
