Hertz,volumen,Imagenes,Random,Correcto,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,sound_3.started,sound_3.stopped,Sonido.started,Sonido.stopped,image_2.started,image_2.stopped,slider_2.response,slider_2.rt,slider_2.started,slider_2.stopped,text_2.started,text_2.stopped,text_3.started,text_3.stopped,text.started,text.stopped,text_4.started,text_4.stopped,participant,session,date,expName,psychopyVersion,frameRate,
400,0.02,imagenes/Galletas Tosh.jpg,0.9129693753280027,None,0,0,0,0,0,11,11,6,,,37.27067491999988,38.270750199997565,38.270750199997565,None,2.11328125,1.192968600000313,38.270750199997565,None,,,,,,,,,q,001,2020_Dec_01_1710,piloto1,2020.2.5,59.86507609165064,
400,0.02,imagenes/Pepinillos.png,0.0038966441241518046,None,0,0,0,0,0,12,12,28,,,38.50421311999817,39.5041519999977,39.5041519999977,None,2.11328125,1.676064100000076,39.5041519999977,None,,,,,,,,,q,001,2020_Dec_01_1710,piloto1,2020.2.5,59.86507609165064,
400,0.02,imagenes/Uvas.jpg,0.4959291644143431,None,0,0,0,0,0,13,13,19,,,40.22067682000052,None,41.203713199996855,None,2.38671875,1.3681647000012163,41.203713199996855,None,,,,,,,,,q,001,2020_Dec_01_1710,piloto1,2020.2.5,59.86507609165064,
400,0.02,imagenes/Papas-limon.jpg,0.5280798509093595,None,0,0,0,0,0,14,14,14,,,41.6038815099997,42.60369539999738,42.60369539999738,None,2.477864583333333,1.2386678000002576,42.60369539999738,None,,,,,,,,,q,001,2020_Dec_01_1710,piloto1,2020.2.5,59.86507609165064,
400,0.02,imagenes/pistachos.jpg,0.7450869742741464,None,0,0,0,0,0,15,15,30,,,42.87032440999938,43.87105559999691,43.85411589999785,None,2.477864583333333,1.2304444999972475,43.85411589999785,None,,,,,,,,,q,001,2020_Dec_01_1710,piloto1,2020.2.5,59.86507609165064,
400,0.02,imagenes/Pescadito.png,0.7172825011486081,None,0,0,0,0,0,16,16,29,,,44.13710691999877,None,45.120496799998364,None,2.477864583333333,1.030424699998548,45.120496799998364,None,,,,,,,,,q,001,2020_Dec_01_1710,piloto1,2020.2.5,59.86507609165064,
400,0.02,imagenes/Yogurt-alpina.jpg,0.5445152936222175,None,0,0,0,0,0,17,17,18,,,45.20354771999992,46.2036334000004,46.18722689999777,None,2.477864583333333,1.4024452000012388,46.18722689999777,None,,,,,,,,,q,001,2020_Dec_01_1710,piloto1,2020.2.5,59.86507609165064,
400,0.02,imagenes/Muffin de banano.png,0.9610615059009696,None,0,0,0,0,0,18,18,25,,,46.65355252999762,None,47.637241299999005,None,2.477864583333333,1.4984385000025213,47.637241299999005,None,,,,,,,,,q,001,2020_Dec_01_1710,piloto1,2020.2.5,59.86507609165064,
400,0.02,imagenes/Popetas.jpg,0.9621625733302204,None,0,0,0,0,0,19,19,16,,,48.20351832999841,49.20327429999816,49.18653859999904,None,2.477864583333333,1.7109122000001662,49.18653859999904,None,,,,,,,,,q,001,2020_Dec_01_1710,piloto1,2020.2.5,59.86507609165064,
400,0.02,imagenes/Rollo de queso.png,0.9201641182756888,None,0,0,0,0,0,20,20,33,,,49.95314821999928,None,50.93670249999923,None,2.477864583333333,1.5826120999990962,50.93670249999923,None,,,,,,,,,q,001,2020_Dec_01_1710,piloto1,2020.2.5,59.86507609165064,
400,0.02,imagenes/Pandebono.png,0.8988574378129985,None,0,0,0,0,0,21,21,26,,,51.57008441999933,None,52.55360899999869,None,2.477864583333333,1.7126674999999523,52.55360899999869,None,,,,,,,,,q,001,2020_Dec_01_1710,piloto1,2020.2.5,59.86507609165064,
