Hertz,volumen,Imagenes,Random,Correcto,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,sound_3.started,sound_3.stopped,Sonido.started,Sonido.stopped,image_2.started,image_2.stopped,slider_2.response,slider_2.rt,slider_2.started,slider_2.stopped,text_2.started,text_2.stopped,text_3.started,text_3.stopped,text.started,text.stopped,text_4.started,text_4.stopped,texto_final.started,texto_final.stopped,participant,session,date,expName,psychopyVersion,frameRate,
1000,0.0,imagenes/Yogurt-alpina.jpg,0.5445152936222175,None,0,0,0,3,0,29,29,18,,,61.012017559981906,None,61.99526550003793,None,3.3763020833333335,1.1632852000184357,61.99526550003793,None,,,,,,,,,,,j,001,2020_Nov_03_0923,piloto1,2020.2.3,59.89243317278057,
1000,0.0,imagenes/Leche-de-almendras.jpg,0.3886559457994673,None,0,0,0,3,0,30,30,9,,,62.328827379981526,None,63.31497589999344,None,4.0078125,1.2865000999881886,63.31497589999344,None,,,,,,,,,,,j,001,2020_Nov_03_0923,piloto1,2020.2.3,59.89243317278057,
1000,0.0,imagenes/salchicha hojaldrada.jpg,0.7119773165481526,None,0,0,0,3,0,31,31,35,,,63.66224206002662,64.66179720003856,64.66179720003856,None,3.44140625,1.2437633000081405,64.66179720003856,None,,,,,,,,,,,j,001,2020_Nov_03_0923,piloto1,2020.2.3,59.89243317278057,
1000,0.0,imagenes/Uvas.jpg,0.4959291644143431,None,0,0,0,3,0,32,32,19,,,64.96198866000633,None,65.96191760001238,None,3.747395833333333,1.2953239000053145,65.96191760001238,None,,,,,,,,,,,j,001,2020_Nov_03_0923,piloto1,2020.2.3,59.89243317278057,
1000,0.0,imagenes/Galletas Tosh.jpg,0.9129693753280027,None,0,0,0,3,0,33,33,6,,,66.32859877998708,67.32889360003173,67.32889360003173,None,3.4544270833333335,1.2713755000149831,67.32889360003173,None,,,,,,,,,,,j,001,2020_Nov_03_0923,piloto1,2020.2.3,59.89243317278057,
1000,0.0,imagenes/Brocoli.jpg,0.24293074945529525,None,0,0,0,3,0,34,34,21,,,67.64496034003096,None,68.62827670003753,None,4.5546875,1.246836699952837,68.62827670003753,None,,,,,,,,,,,j,001,2020_Nov_03_0923,piloto1,2020.2.3,59.89243317278057,
1000,0.0,imagenes/Almojabanas.png,0.6725051200713246,None,0,0,0,3,0,35,35,20,,,68.97812099999283,69.9783555000322,69.96184210001957,None,5.368489583333334,1.2000983000034466,69.96184210001957,None,,,,,,,,,,,j,001,2020_Nov_03_0923,piloto1,2020.2.3,59.89243317278057,
1000,0.0,,,,0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,j,001,2020_Nov_03_0923,piloto1,2020.2.3,59.89243317278057,
400,0.02,imagenes/Pizza.png,0.21192443516553439,None,0,1,1,0,0,0,0,31,,,70.24532578001963,None,71.22889989998657,None,3.48046875,1.3183141999761574,71.22889989998657,None,,,,,,,,,,,j,001,2020_Nov_03_0923,piloto1,2020.2.3,59.89243317278057,
400,0.02,imagenes/Papas-limon.jpg,0.5280798509093595,None,0,1,1,0,0,1,1,14,,,71.59523814000423,None,72.59472990001086,None,2.549479166666667,1.2550551000167616,72.59472990001086,None,,,,,,,,,,,j,001,2020_Nov_03_0923,piloto1,2020.2.3,59.89243317278057,
