Hertz,volumen,Imagenes,Random,Correcto,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,sound_3.started,sound_3.stopped,Sonido.started,Sonido.stopped,image_2.started,image_2.stopped,slider_2.response,slider_2.rt,slider_2.started,slider_2.stopped,text_2.started,text_2.stopped,text_3.started,text_3.stopped,text.started,text.stopped,participant,session,date,expName,psychopyVersion,frameRate,
1000,0.0,imagenes/Manzana.jpg,0.4048420327008191,None,0,0,0,3,0,10,10,11,,,40.03835519999848,41.038624099994195,41.021516599997994,None,3.565104166666667,1.6326235000015004,41.021516599997994,None,,,,,,,je,001,2020_Dec_15_1402,piloto1,2020.2.5,59.745864985432654,
1000,0.0,imagenes/Galletas-festival.jpg,0.11306074364032936,None,0,0,0,3,0,11,11,7,,,41.73836685998831,None,42.72153999999864,None,3.565104166666667,1.5283555000060005,42.72153999999864,None,,,,,,,je,001,2020_Dec_15_1402,piloto1,2020.2.5,59.745864985432654,
1000,0.0,imagenes/Brownie.jpg,0.2838924074864093,None,0,0,0,3,0,12,12,3,,,43.35461849998683,None,44.338081599998986,None,3.565104166666667,1.5501808999979403,44.338081599998986,None,,,,,,,je,001,2020_Dec_15_1402,piloto1,2020.2.5,59.745864985432654,
1000,0.0,imagenes/Canelazo.png,0.6730479360767814,None,0,0,0,3,0,13,13,22,,,45.021476979990254,46.02135169999383,46.02135169999383,None,3.565104166666667,1.4256510000122944,46.02135169999383,None,,,,,,,je,001,2020_Dec_15_1402,piloto1,2020.2.5,59.745864985432654,
1000,0.0,imagenes/salchicha hojaldrada.jpg,0.7119773165481526,None,0,0,0,3,0,14,14,35,,,46.471192639996296,47.47134969999024,47.47134969999024,None,3.565104166666667,1.3243606000032742,47.47134969999024,None,,,,,,,je,001,2020_Dec_15_1402,piloto1,2020.2.5,59.745864985432654,
1000,0.0,imagenes/Rollos de canela.png,0.2610974409574519,None,0,0,0,3,0,15,15,34,,,47.85470611999626,48.85449779999908,48.85449779999908,None,3.565104166666667,1.4942406000045594,48.85449779999908,None,,,,,,,je,001,2020_Dec_15_1402,piloto1,2020.2.5,59.745864985432654,
1000,0.0,imagenes/Chontaduro.png,0.8693553300418813,None,0,0,0,3,0,16,16,23,,,49.40451011999102,None,50.387881499991636,None,3.565104166666667,1.5358748999860836,50.387881499991636,None,,,,,,,je,001,2020_Dec_15_1402,piloto1,2020.2.5,59.745864985432654,
1000,0.0,imagenes/Yogurt-alpina.jpg,0.5445152936222175,None,0,0,0,3,0,17,17,18,,,50.98807181998854,51.98806109999714,51.970982999991975,None,3.55859375,1.6178584000008414,51.970982999991975,None,,,,,,,je,001,2020_Dec_15_1402,piloto1,2020.2.5,59.745864985432654,
1000,0.0,imagenes/Croissant.jpg,0.5824748589948932,None,0,0,0,3,0,18,18,5,,,52.67092555999407,53.67091449999134,53.67091449999134,None,3.571614583333333,1.7617051000124775,53.67091449999134,None,,,,,,,je,001,2020_Dec_15_1402,piloto1,2020.2.5,59.745864985432654,
1000,0.0,imagenes/pistachos.jpg,0.7450869742741464,None,0,0,0,3,0,19,19,30,,,54.454265939994364,55.454116499997326,55.454116499997326,None,3.571614583333333,1.3739454000024125,55.454116499997326,None,,,,,,,je,001,2020_Dec_15_1402,piloto1,2020.2.5,59.745864985432654,
