Hertz,volumen,Imagenes,Random,Correcto,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,sound_3.started,sound_3.stopped,Sonido.started,Sonido.stopped,image_2.started,image_2.stopped,slider_2.response,slider_2.rt,slider_2.started,slider_2.stopped,text_2.started,text_2.stopped,text_3.started,text_3.stopped,text.started,text.stopped,text_4.started,text_4.stopped,text_5.started,text_5.stopped,image.started,image.stopped,participant,session,date,expName,psychopyVersion,frameRate,
400,0.02,imagenes/Rosquitas (1).jpg,0.024090340010977873,None,0,1,1,0,0,7,7,17,,,111.64576307996177,112.64618050004356,112.64618050004356,None,3.4609375,1.1102308999979869,112.64618050004356,None,,,,,,,,,,,,,t,001,2021_Jan_05_1602,piloto1,2020.2.5,59.91952807489097,
400,0.02,imagenes/Mango.jpeg,0.4341155418941499,None,0,1,1,0,0,8,8,10,,,112.79589488005732,113.7960564000532,113.7795732000377,None,3.4609375,1.5302215999690816,113.7795732000377,None,,,,,,,,,,,,,t,001,2021_Jan_05_1602,piloto1,2020.2.5,59.91952807489097,
400,0.02,imagenes/Kiwi.jpg,0.3929145850942286,None,0,1,1,0,0,9,9,8,,,114.34564829005394,115.34588979999535,115.34588979999535,None,3.4609375,1.6908107000635937,115.34588979999535,None,,,,,,,,,,,,,t,001,2021_Jan_05_1602,piloto1,2020.2.5,59.91952807489097,
400,0.02,imagenes/Nutella (1).jpg,0.8826531883338111,None,0,1,1,0,0,10,10,12,,,116.06235758999829,117.06257339997683,117.06257339997683,None,3.4609375,1.8718055000063032,117.06257339997683,None,,,,,,,,,,,,,t,001,2021_Jan_05_1602,piloto1,2020.2.5,59.91952807489097,
400,0.02,imagenes/Pescadito.png,0.7172825011486081,None,0,1,1,0,0,11,11,29,,,117.97898407999892,118.97915839997586,118.96251660003327,None,3.48046875,1.3804654000559822,118.96251660003327,None,,,,,,,,,,,,,t,001,2021_Jan_05_1602,piloto1,2020.2.5,59.91952807489097,
400,0.02,imagenes/Chocoramo.jfif.jpg,0.7425528559884101,None,0,1,1,0,0,12,12,4,,,119.42903436005581,None,120.41224320000038,None,3.48046875,1.1495085000060499,120.41224320000038,None,,,,,,,,,,,,,t,001,2021_Jan_05_1602,piloto1,2020.2.5,59.91952807489097,
400,0.02,imagenes/Uvas.jpg,0.4959291644143431,None,0,1,1,0,0,13,13,19,,,120.61222387999297,121.61247180006467,121.59569099999499,None,3.48046875,2.1664582000812516,121.59569099999499,None,,,,,,,,,,,,,t,001,2021_Jan_05_1602,piloto1,2020.2.5,59.91952807489097,
400,0.02,imagenes/Popetas.jpg,0.9621625733302204,None,0,1,1,0,0,14,14,16,,,122.84525865998584,None,123.84541770000942,None,3.48046875,2.4229189000325277,123.84541770000942,None,,,,,,,,,,,,,t,001,2021_Jan_05_1602,piloto1,2020.2.5,59.91952807489097,
400,0.02,imagenes/Galletas Tosh.jpg,0.9129693753280027,None,0,1,1,0,0,15,15,6,,,125.32869327000809,None,126.2953687000554,None,3.48046875,1.367960299947299,126.2953687000554,None,,,,,,,,,,,,,t,001,2021_Jan_05_1602,piloto1,2020.2.5,59.91952807489097,
400,0.02,imagenes/Pizzetas.png,0.3295951589873042,None,0,1,1,0,0,16,16,32,,,126.72846898003482,127.72869280003943,127.72869280003943,None,3.4869791666666665,1.2403225000016391,127.72869280003943,None,,,,,,,,,,,,,t,001,2021_Jan_05_1602,piloto1,2020.2.5,59.91952807489097,
400,0.02,imagenes/Rollos de canela.png,0.2610974409574519,None,0,1,1,0,0,17,17,34,,,128.01180268006866,129.01221850002185,128.99535650003236,None,3.4869791666666665,1.7328337000217289,128.99535650003236,None,,,,,,,,,,,,,t,001,2021_Jan_05_1602,piloto1,2020.2.5,59.91952807489097,
400,0.02,imagenes/Banano.jpeg,0.2267656716538785,None,0,1,1,0,0,18,18,1,,,129.77821668002287,None,130.76173260004725,None,3.4869791666666665,1.4511333999689668,130.76173260004725,None,,,,,,,,,,,,,t,001,2021_Jan_05_1602,piloto1,2020.2.5,59.91952807489097,
400,0.02,imagenes/Coliflor.jpg,0.3640740491088985,None,0,1,1,0,0,19,19,24,,,131.26180898000018,None,132.22833180008456,None,3.4869791666666665,1.4188069999217987,132.22833180008456,None,,,,,,,,,,,,,t,001,2021_Jan_05_1602,piloto1,2020.2.5,59.91952807489097,
400,0.02,imagenes/Pandebono.png,0.8988574378129985,None,0,1,1,0,0,20,20,26,,,132.71156727997584,133.71175210003275,133.69506940001156,None,3.4869791666666665,1.6622653000522405,133.69506940001156,None,,,,,,,,,,,,,t,001,2021_Jan_05_1602,piloto1,2020.2.5,59.91952807489097,
400,0.02,imagenes/Galletas-festival.jpg,0.11306074364032936,None,0,1,1,0,0,21,21,7,,,134.4113519800361,135.4118367000483,135.39506460004486,None,None,None,135.39506460004486,None,,,,,,,,,,,,,t,001,2021_Jan_05_1602,piloto1,2020.2.5,59.91952807489097,
400,0.02,imagenes/Leche-de-almendras.jpg,0.3886559457994673,None,0,1,1,0,0,22,22,9,,,137.52827721002976,138.52790190000087,138.5112466000719,137.52467900002375,3.4869791666666665,1.4450280000455678,138.5112466000719,137.52467900002375,,,,,,,,,,,,,t,001,2021_Jan_05_1602,piloto1,2020.2.5,59.91952807489097,
400,0.02,imagenes/Croissant.jpg,0.5824748589948932,None,0,1,1,0,0,23,23,5,,,139.02792527005076,None,140.0280589000322,None,None,None,140.0280589000322,None,,,,,,,,,,,,,t,001,2021_Jan_05_1602,piloto1,2020.2.5,59.91952807489097,
400,0.02,imagenes/Papas-limon.jpg,0.5280798509093595,None,0,1,1,0,0,24,24,14,,,142.061372270016,None,143.04457060003188,142.05445659998804,3.4869791666666665,1.3319383000489324,143.04457060003188,142.05445659998804,,,,,,,,,,,,,t,001,2021_Jan_05_1602,piloto1,2020.2.5,59.91952807489097,
400,0.02,imagenes/Yogurt-alpina.jpg,0.5445152936222175,None,0,1,1,0,0,25,25,18,,,143.42771088003644,None,144.41765399998985,None,3.4869791666666665,1.3342711000004783,144.41765399998985,None,,,,,,,,,,,,,t,001,2021_Jan_05_1602,piloto1,2020.2.5,59.91952807489097,
400,0.02,imagenes/Almojabanas.png,0.6725051200713246,None,0,1,1,0,0,26,26,20,,,144.79435627998316,145.79453880002256,145.79453880002256,None,3.4869791666666665,1.2399908000370488,145.79453880002256,None,,,,,,,,,,,,,t,001,2021_Jan_05_1602,piloto1,2020.2.5,59.91952807489097,
400,0.02,imagenes/Manzana.jpg,0.4048420327008191,None,0,1,1,0,0,27,27,11,,,146.07787198000585,147.07768660003785,147.07768660003785,None,3.4869791666666665,1.3205259999958798,147.07768660003785,None,,,,,,,,,,,,,t,001,2021_Jan_05_1602,piloto1,2020.2.5,59.91952807489097,
400,0.02,imagenes/Muffin de banano.png,0.9610615059009696,None,0,1,1,0,0,28,28,25,,,147.46108467006124,148.46117300004698,148.46117300004698,None,3.4869791666666665,1.3798524999292567,148.46117300004698,None,,,,,,,,,,,,,t,001,2021_Jan_05_1602,piloto1,2020.2.5,59.91952807489097,
400,0.02,imagenes/Pepinillos.png,0.0038966441241518046,None,0,1,1,0,0,29,29,28,,,148.87850008006205,None,149.8815755000105,None,3.4869791666666665,1.070490499958396,149.8815755000105,None,,,,,,,,,,,,,t,001,2021_Jan_05_1602,piloto1,2020.2.5,59.91952807489097,
400,0.02,imagenes/Papas picantes.jpg,0.524978898672612,None,0,1,1,0,0,30,30,27,,,149.97744268998503,150.9773985000793,150.96081040007994,None,3.4869791666666665,1.7122919000685215,150.96081040007994,None,,,,,,,,,,,,,t,001,2021_Jan_05_1602,piloto1,2020.2.5,59.91952807489097,
400,0.02,imagenes/Brownie.jpg,0.2838924074864093,None,0,1,1,0,0,31,31,3,,,151.74423576998524,152.74417950003408,152.72737710003275,None,3.4869791666666665,1.5959983000066131,152.72737710003275,None,,,,,,,,,,,,,t,001,2021_Jan_05_1602,piloto1,2020.2.5,59.91952807489097,
400,0.02,imagenes/Rollo de queso.png,0.9201641182756888,None,0,1,1,0,0,32,32,33,,,153.37764218004884,154.37736669997685,154.37736669997685,None,3.4869791666666665,1.4548176999669522,154.37736669997685,None,,,,,,,,,,,,,t,001,2021_Jan_05_1602,piloto1,2020.2.5,59.91952807489097,
