Hertz,volumen,Imagenes,Random,Correcto,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,sound_3.started,sound_3.stopped,Sonido.started,Sonido.stopped,image_2.started,image_2.stopped,slider_2.response,slider_2.rt,slider_2.started,slider_2.stopped,text_2.started,text_2.stopped,text_3.started,text_3.stopped,text.started,text.stopped,participant,session,date,expName,psychopyVersion,frameRate,
1000,0.02,imagenes/Mango.jpeg,0.4341155418941499,None,0,0,0,2,0,14,14,10,,,79.77003922000296,80.77035360000446,80.77035360000446,None,3.571614583333333,1.7933994000050006,80.77035360000446,None,,,,,,,hola,001,2020_Dec_15_1342,piloto1,2020.2.5,59.989333895528695,
1000,0.02,imagenes/Pescadito.png,0.7172825011486081,None,0,0,0,2,0,15,15,29,,,81.63661684000691,None,82.62018420000095,None,3.571614583333333,1.6048945000075037,82.62018420000095,None,,,,,,,hola,001,2020_Dec_15_1342,piloto1,2020.2.5,59.989333895528695,
1000,0.02,imagenes/Uvas.jpg,0.4959291644143431,None,0,0,0,2,0,16,16,19,,,83.28672468000441,84.28676180000184,84.27056119999907,None,3.571614583333333,1.7319495999981882,84.27056119999907,None,,,,,,,hola,001,2020_Dec_15_1342,piloto1,2020.2.5,59.989333895528695,
1000,0.02,imagenes/Alpinito.jpg,0.7416150880621702,None,0,0,0,2,0,17,17,0,,,85.08647823999637,86.08672900000238,86.08672900000238,None,3.571614583333333,1.8069969000061974,86.08672900000238,None,,,,,,,hola,001,2020_Dec_15_1342,piloto1,2020.2.5,59.989333895528695,
1000,0.02,imagenes/Popetas.jpg,0.9621625733302204,None,0,0,0,2,0,18,18,16,,,86.95278608000372,87.95339130000502,87.93691750000289,None,3.571614583333333,1.7299667000042973,87.93691750000289,None,,,,,,,hola,001,2020_Dec_15_1342,piloto1,2020.2.5,59.989333895528695,
1000,0.02,imagenes/Banano.jpeg,0.2267656716538785,None,0,0,0,2,0,19,19,1,,,88.73653717999987,None,89.7198561999976,None,3.571614583333333,1.381318600004306,89.7198561999976,None,,,,,,,hola,001,2020_Dec_15_1342,piloto1,2020.2.5,59.989333895528695,
1000,0.02,imagenes/Rollo de queso.png,0.9201641182756888,None,0,0,0,2,0,20,20,33,,,90.18635424000387,91.18685179999738,91.18685179999738,None,3.571614583333333,1.5072972000052687,91.18685179999738,None,,,,,,,hola,001,2020_Dec_15_1342,piloto1,2020.2.5,59.989333895528695,
1000,0.02,imagenes/pistachos.jpg,0.7450869742741464,None,0,0,0,2,0,21,21,30,,,91.71963166000788,None,92.71971220000705,None,3.571614583333333,1.3921857999957865,92.71971220000705,None,,,,,,,hola,001,2020_Dec_15_1342,piloto1,2020.2.5,59.989333895528695,
1000,0.02,imagenes/Brocoli.jpg,0.24293074945529525,None,0,0,0,2,0,22,22,21,,,93.15294582000644,None,94.13620579999406,None,3.571614583333333,1.6795779999956721,94.13620579999406,None,,,,,,,hola,001,2020_Dec_15_1342,piloto1,2020.2.5,59.989333895528695,
1000,0.02,imagenes/Rollos de canela.png,0.2610974409574519,None,0,0,0,2,0,23,23,34,,,94.85258936000756,95.85288210000726,95.85288210000726,None,3.571614583333333,1.692486400002963,95.85288210000726,None,,,,,,,hola,001,2020_Dec_15_1342,piloto1,2020.2.5,59.989333895528695,
