Hertz,volumen,Imagenes,Random,Correcto,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,sound_3.started,sound_3.stopped,Sonido.started,Sonido.stopped,image_2.started,image_2.stopped,slider_2.response,slider_2.rt,slider_2.started,slider_2.stopped,text.started,text.stopped,text_4.started,text_4.stopped,participant,session,date,expName,psychopyVersion,frameRate,
1500,0.02,imagenes/Muffin de banano.png,0.9610615059009696,None,0,0,0,1,0,13,13,25,,,38.13809615995269,None,39.12193170003593,None,3.36328125,1.2858560000313446,39.12193170003593,None,,,,,g,001,2020_Oct_27_1212,piloto1,2020.2.3,59.91371227018931,
1500,0.02,imagenes/Pepinillos.png,0.0038966441241518046,None,0,0,0,1,0,14,14,28,,,39.45489884000271,None,40.454950500046834,None,2.2890625,1.2735169999068603,40.454950500046834,None,,,,,g,001,2020_Oct_27_1212,piloto1,2020.2.3,59.91371227018931,
1500,0.02,imagenes/Pizzetas.png,0.3295951589873042,None,0,0,0,1,0,15,15,32,,,40.77165644005872,None,41.755156100029126,None,3.75390625,1.329818099969998,41.755156100029126,None,,,,,g,001,2020_Oct_27_1212,piloto1,2020.2.3,59.91371227018931,
1500,0.02,imagenes/pistachos.jpg,0.7450869742741464,None,0,0,0,1,0,16,16,30,,,42.12120002005249,None,43.10502360004466,None,4.483072916666667,1.2965132999233902,43.10502360004466,None,,,,,g,001,2020_Oct_27_1212,piloto1,2020.2.3,59.91371227018931,
1500,0.02,imagenes/Banano.jpeg,0.2267656716538785,None,0,0,0,1,0,17,17,1,,,43.45442974003963,None,44.43830360006541,None,3.421875,1.4186373999109492,44.43830360006541,None,,,,,g,001,2020_Oct_27_1212,piloto1,2020.2.3,59.91371227018931,
1500,0.02,imagenes/Pizza.png,0.21192443516553439,None,0,0,0,1,0,18,18,31,,,44.888005020073614,45.88818380003795,45.88818380003795,None,2.725260416666667,1.3908152000512928,45.88818380003795,None,,,,,g,001,2020_Oct_27_1212,piloto1,2020.2.3,59.91371227018931,
1500,0.02,imagenes/Uvas.jpg,0.4959291644143431,None,0,0,0,1,0,19,19,19,,,46.304689820017664,None,47.30455390003044,None,3.79296875,1.3901944000972435,47.30455390003044,None,,,,,g,001,2020_Oct_27_1212,piloto1,2020.2.3,59.91371227018931,
1500,0.02,imagenes/Popetas.jpg,0.9621625733302204,None,0,0,0,1,0,20,20,16,,,47.73776703998446,48.73838420002721,48.73838420002721,None,4.489583333333333,1.4201622999971732,48.73838420002721,None,,,,,g,001,2020_Oct_27_1212,piloto1,2020.2.3,59.91371227018931,
1500,0.02,imagenes/Papas picantes.jpg,0.524978898672612,None,0,0,0,1,0,21,21,27,,,49.187870720028876,50.18755100003909,50.171019200002775,None,3.643229166666667,1.327321800054051,50.171019200002775,None,,,,,g,001,2020_Oct_27_1212,piloto1,2020.2.3,59.91371227018931,
1500,0.02,imagenes/Chocoramo.jfif.jpg,0.7425528559884101,None,0,0,0,1,0,22,22,4,,,50.554330239957196,None,51.55454390007071,None,4.170572916666667,1.3072266000090167,51.55454390007071,None,,,,,g,001,2020_Oct_27_1212,piloto1,2020.2.3,59.91371227018931,
1500,0.02,imagenes/Pescadito.png,0.7172825011486081,None,0,0,0,1,0,23,23,29,,,51.904275039979254,None,52.88757550006267,None,3.721354166666667,1.3503984999842942,52.88757550006267,None,,,,,g,001,2020_Oct_27_1212,piloto1,2020.2.3,59.91371227018931,
1500,0.02,imagenes/Coliflor.jpg,0.3640740491088985,None,0,0,0,1,0,24,24,24,,,53.27153212004341,None,54.271379000041634,None,4.125,1.3758155000396073,54.271379000041634,None,,,,,g,001,2020_Oct_27_1212,piloto1,2020.2.3,59.91371227018931,
1500,0.02,imagenes/Almojabanas.png,0.6725051200713246,None,0,0,0,1,0,25,25,20,,,54.687162439990786,55.687882199999876,55.687882199999876,None,3.5390625,1.3906450000358745,55.687882199999876,None,,,,,g,001,2020_Oct_27_1212,piloto1,2020.2.3,59.91371227018931,
1500,0.02,imagenes/Mango.jpeg,0.4341155418941499,None,0,0,0,1,0,26,26,10,,,56.10430392003618,57.104078000062145,57.104078000062145,None,4.307291666666667,1.5865229000337422,57.104078000062145,None,,,,,g,001,2020_Oct_27_1212,piloto1,2020.2.3,59.91371227018931,
1500,0.02,imagenes/Croissant.jpg,0.5824748589948932,None,0,0,0,1,0,27,27,5,,,57.75378406005911,None,58.73745300003793,None,3.526041666666667,1.4841200000373647,58.73745300003793,None,,,,,g,001,2020_Oct_27_1212,piloto1,2020.2.3,59.91371227018931,
1500,0.02,imagenes/bon-bon-bun.jpg,0.7417452724056987,None,0,0,0,1,0,28,28,2,,,59.27106024005916,None,60.25439490005374,None,4.61328125,1.5972395000280812,60.25439490005374,None,,,,,g,001,2020_Oct_27_1212,piloto1,2020.2.3,59.91371227018931,
1500,0.02,imagenes/Alpinito.jpg,0.7416150880621702,None,0,0,0,1,0,29,29,0,,,60.90417824005708,None,61.90389179997146,None,3.506510416666667,1.5915843999246135,61.90389179997146,None,,,,,g,001,2020_Oct_27_1212,piloto1,2020.2.3,59.91371227018931,
1500,0.02,imagenes/Rosquitas (1).jpg,0.024090340010977873,None,0,0,0,1,0,30,30,17,,,62.53704804002773,63.53709080000408,63.5205377000384,None,4.600260416666667,1.6136119000148028,63.5205377000384,None,,,,,g,001,2020_Oct_27_1212,piloto1,2020.2.3,59.91371227018931,
1500,0.02,imagenes/Papas-naturales.jpg,0.37590629905521566,None,0,0,0,1,0,31,31,13,,,64.17021472004708,65.1705101999687,65.1705101999687,None,3.55859375,1.4924710999475792,65.1705101999687,None,,,,,g,001,2020_Oct_27_1212,piloto1,2020.2.3,59.91371227018931,
