Hertz,volumen,Imagenes,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,sound_3.started,sound_3.stopped,sound_2.started,sound_2.stopped,image_2.started,image_2.stopped,slider_2.response,slider_2.rt,slider_2.started,slider_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
1000,0.02,imagenes\Uvas.jpg,0,2,2,2,0,9,9,19,,,58.81416533996817,None,58.80668699997477,None,4.385416666666667,1.1688452000380494,58.80668699997477,None,Sebastián,001,2020_Sep_05_1908,piloto1,2020.2.3,59.8533592680541,
1000,0.02,imagenes\Brownie.jpg,0,2,2,2,0,10,10,3,,,60.030777059972756,None,60.026704799965955,None,2.256510416666667,0.5474142000311986,60.026704799965955,None,Sebastián,001,2020_Sep_05_1908,piloto1,2020.2.3,59.8533592680541,
1000,0.02,imagenes\Banano.jpeg,0,2,2,2,0,11,11,1,,,60.61410373995314,None,60.60654599999543,None,4.854166666666666,0.334855500026606,60.60654599999543,None,Sebastián,001,2020_Sep_05_1908,piloto1,2020.2.3,59.8533592680541,
1000,0.02,imagenes\Nutella (1).jpg,0,2,2,2,0,12,12,12,,,60.96407851998229,None,60.96763219998684,None,2.490885416666667,0.2895266000414267,60.96763219998684,None,Sebastián,001,2020_Sep_05_1908,piloto1,2020.2.3,59.8533592680541,
1000,0.02,imagenes\Papas-limon.jpg,0,2,2,2,0,13,13,14,,,61.28084791995352,None,61.28400159999728,None,1.4166666666666665,0.20640099997399375,61.28400159999728,None,Sebastián,001,2020_Sep_05_1908,piloto1,2020.2.3,59.8533592680541,
1000,0.02,imagenes\Croissant.jpg,0,2,2,2,0,14,14,5,,,61.53049023995409,None,61.53574560000561,None,3.571614583333333,0.2054640999995172,61.53574560000561,None,Sebastián,001,2020_Sep_05_1908,piloto1,2020.2.3,59.8533592680541,
1000,0.02,imagenes\Popetas.jpg,0,2,2,2,0,15,15,16,,,61.797222359990705,None,61.79455649998272,None,5.505208333333334,0.12913640000624582,61.79455649998272,None,Sebastián,001,2020_Sep_05_1908,piloto1,2020.2.3,59.8533592680541,
1000,0.02,imagenes\Leche-de-almendras.jpg,0,2,2,2,0,16,16,9,,,61.99752507996745,None,61.99715449998621,None,6,0.11060259997611865,61.99715449998621,None,Sebastián,001,2020_Sep_05_1908,piloto1,2020.2.3,59.8533592680541,
1000,0.02,imagenes\Papas-pollo.jpg,0,2,2,2,0,17,17,15,,,62.13116821998265,None,62.13545699999668,None,3.5390625,0.15533540002070367,62.13545699999668,None,Sebastián,001,2020_Sep_05_1908,piloto1,2020.2.3,59.8533592680541,
1000,0.02,imagenes\Yogurt-alpina.jpg,0,2,2,2,0,18,18,18,,,62.330333339970096,None,62.32193969999207,None,2.627604166666667,0.48591180000221357,62.32193969999207,None,Sebastián,001,2020_Sep_05_1908,piloto1,2020.2.3,59.8533592680541,
1000,0.02,imagenes\Galletas-festival.jpg,0,2,2,2,0,19,19,7,,,62.84748653996503,None,62.84485269995639,None,4.4375,0.14602729998296127,62.84485269995639,None,Sebastián,001,2020_Sep_05_1908,piloto1,2020.2.3,59.8533592680541,
1000,0.02,,0,2,2,2,,,,,,,,,,,,,,,Sebastián,001,2020_Sep_05_1908,piloto1,2020.2.3,59.8533592680541,
1500,0.02,imagenes\Kiwi.jpg,0,3,3,1,0,0,0,8,,,63.03031433995348,None,63.02458399999887,None,1.9049479166666665,0.13269100000616163,63.02458399999887,None,Sebastián,001,2020_Sep_05_1908,piloto1,2020.2.3,59.8533592680541,
1500,0.02,imagenes\Uvas.jpg,0,3,3,1,0,1,1,19,,,63.19753183999565,None,63.19085729995277,None,1.8919270833333335,0.10105140000814572,63.19085729995277,None,Sebastián,001,2020_Sep_05_1908,piloto1,2020.2.3,59.8533592680541,
1500,0.02,imagenes\Alpinito.jpg,0,3,3,1,0,2,2,0,,,63.347376559989065,None,63.341067200002726,None,3.421875,0.14868119999300689,63.341067200002726,None,Sebastián,001,2020_Sep_05_1908,piloto1,2020.2.3,59.8533592680541,
1500,0.02,imagenes\Papas-limon.jpg,0,3,3,1,0,3,3,14,,,63.51357271996094,None,63.52036319999024,None,4.802083333333334,0.15734660002635792,63.52036319999024,None,Sebastián,001,2020_Sep_05_1908,piloto1,2020.2.3,59.8533592680541,
1500,0.02,imagenes\Papas-pollo.jpg,0,3,3,1,0,4,4,15,,,63.69714001999237,None,63.70164649997605,None,3.4739583333333335,0.25632519996725023,63.70164649997605,None,Sebastián,001,2020_Sep_05_1908,piloto1,2020.2.3,59.8533592680541,
1500,0.02,imagenes\Yogurt-alpina.jpg,0,3,3,1,0,5,5,18,,,63.99749073996209,None,63.988499799976125,None,4.509114583333333,0.18521620001411065,63.988499799976125,None,Sebastián,001,2020_Sep_05_1908,piloto1,2020.2.3,59.8533592680541,
1500,0.02,imagenes\Brownie.jpg,0,3,3,1,0,6,6,3,,,64.23050145998131,None,64.22284050000599,None,3.4544270833333335,0.11857819999568164,64.22284050000599,None,Sebastián,001,2020_Sep_05_1908,piloto1,2020.2.3,59.8533592680541,
1500,0.02,imagenes\Leche-de-almendras.jpg,0,3,3,1,0,7,7,9,,,64.41383697998243,None,64.40705449995585,None,2.647135416666667,0.13469510001596063,64.40705449995585,None,Sebastián,001,2020_Sep_05_1908,piloto1,2020.2.3,59.8533592680541,
1500,0.02,imagenes\Manzana.jpg,0,3,3,1,0,8,8,11,,,64.58063913997029,None,64.58581959997537,None,2.66015625,0.10589589999290183,64.58581959997537,None,Sebastián,001,2020_Sep_05_1908,piloto1,2020.2.3,59.8533592680541,
1500,0.02,imagenes\Banano.jpeg,0,3,3,1,0,9,9,1,,,64.73047493996563,None,64.72458019998157,None,4.177083333333333,0.16615689999889582,64.72458019998157,None,Sebastián,001,2020_Sep_05_1908,piloto1,2020.2.3,59.8533592680541,
1500,0.02,imagenes\Papas-naturales.jpg,0,3,3,1,0,10,10,13,,,64.91371881999075,None,64.91967299999669,None,4.75,0.15499010001076385,64.91967299999669,None,Sebastián,001,2020_Sep_05_1908,piloto1,2020.2.3,59.8533592680541,
1500,0.02,imagenes\Rosquitas (1).jpg,0,3,3,1,0,11,11,17,,,65.11371344000798,None,65.1165067999973,None,2.73828125,0.14257919997908175,65.1165067999973,None,Sebastián,001,2020_Sep_05_1908,piloto1,2020.2.3,59.8533592680541,
1500,0.02,imagenes\Galletas Tosh.jpg,0,3,3,1,0,12,12,6,,,65.29729313995921,None,65.30351810000138,None,2.809895833333333,0.1527580000110902,65.30351810000138,None,Sebastián,001,2020_Sep_05_1908,piloto1,2020.2.3,59.8533592680541,
1500,0.02,imagenes\bon-bon-bun.jpg,0,3,3,1,0,13,13,2,,,65.5142523599905,None,65.52086980000604,None,4.80859375,0.11931129998993129,65.52086980000604,None,Sebastián,001,2020_Sep_05_1908,piloto1,2020.2.3,59.8533592680541,
1500,0.02,imagenes\Nutella (1).jpg,0,3,3,1,0,14,14,12,,,65.66360751995816,None,65.670144099975,None,4.463541666666667,0.15604239999083802,65.670144099975,None,Sebastián,001,2020_Sep_05_1908,piloto1,2020.2.3,59.8533592680541,
1500,0.02,imagenes\Galletas-festival.jpg,0,3,3,1,0,15,15,7,,,65.86377223999006,None,65.8603332999628,None,3.4153645833333335,0.1309818000299856,65.8603332999628,None,Sebastián,001,2020_Sep_05_1908,piloto1,2020.2.3,59.8533592680541,
1500,0.02,imagenes\Popetas.jpg,0,3,3,1,0,16,16,16,,,66.04732775997836,None,66.04352179996204,None,2.705729166666667,0.13009280001278967,66.04352179996204,None,Sebastián,001,2020_Sep_05_1908,piloto1,2020.2.3,59.8533592680541,
1500,0.02,imagenes\Croissant.jpg,0,3,3,1,0,17,17,5,,,66.21385173999005,None,66.2212132999557,None,2.0416666666666665,0.12059559999033809,66.2212132999557,None,Sebastián,001,2020_Sep_05_1908,piloto1,2020.2.3,59.8533592680541,
1500,0.02,imagenes\Mango.jpeg,0,3,3,1,0,18,18,10,,,66.3970873599872,None,66.39225129998522,None,2.5234375,0.11573100002715364,66.39225129998522,None,Sebastián,001,2020_Sep_05_1908,piloto1,2020.2.3,59.8533592680541,
1500,0.02,imagenes\Chocoramo.jfif.jpg,0,3,3,1,0,19,19,4,,,66.54712364000733,None,66.54988829995273,None,4.541666666666667,0.12409810000099242,66.54988829995273,None,Sebastián,001,2020_Sep_05_1908,piloto1,2020.2.3,59.8533592680541,
1500,0.02,,0,3,3,1,,,,,,,,,,,,,,,Sebastián,001,2020_Sep_05_1908,piloto1,2020.2.3,59.8533592680541,
