Hertz,volumen,Imagenes,Random,Correcto,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,intro.started,intro.stopped,Sonido.started,Sonido.stopped,image_2.started,image_2.stopped,slider_2.response,slider_2.rt,slider_2.started,slider_2.stopped,text_2.started,text_2.stopped,text_3.started,text_3.stopped,text.started,text.stopped,text_4.started,text_4.stopped,image.started,image.stopped,texto_final.started,texto_final.stopped,participant,session,date,expName,psychopyVersion,frameRate,
400,0.02,imagenes/Alpinito.jpg,0.7416150880621702,None,0,0,0,0,0,26,26,0,,,256.2404070900011,None,257.22364569999627,None,2.549479166666667,1.2528546999965329,257.22364569999627,None,,,,,,,,,,,,,t,001,2021_Jan_06_2145,piloto1,2020.2.5,59.988542186745825,
400,0.02,imagenes/Banano.jpeg,0.2267656716538785,None,0,0,0,0,0,27,27,1,,,257.5235458600073,None,258.5069519999961,None,2.89453125,1.2692401999956928,258.5069519999961,None,,,,,,,,,,,,,t,001,2021_Jan_06_2145,piloto1,2020.2.5,59.988542186745825,
400,0.02,imagenes/Manzana.jpg,0.4048420327008191,None,0,0,0,0,0,28,28,11,,,258.8232983600028,None,259.80845310000586,None,2.25,1.481994100002339,259.80845310000586,None,,,,,,,,,,,,,t,001,2021_Jan_06_2145,piloto1,2020.2.5,59.988542186745825,
400,0.02,imagenes/Uvas.jpg,0.4959291644143431,None,0,0,0,0,0,29,29,19,,,260.3234114300067,None,261.3235635000019,None,3.1484375,1.1383900000073481,261.3235635000019,None,,,,,,,,,,,,,t,001,2021_Jan_06_2145,piloto1,2020.2.5,59.988542186745825,
400,0.02,imagenes/Kiwi.jpg,0.3929145850942286,None,0,0,0,0,0,30,30,8,,,261.4899421299997,262.48993700000574,262.48993700000574,None,3.747395833333333,1.257088800004567,262.48993700000574,None,,,,,,,,,,,,,t,001,2021_Jan_06_2145,piloto1,2020.2.5,59.988542186745825,
400,0.02,imagenes/Leche-de-almendras.jpg,0.3886559457994673,None,0,0,0,0,0,31,31,9,,,262.8404720500039,263.8401048000087,263.8401048000087,None,2.1783854166666665,1.2035332999948878,263.8401048000087,None,,,,,,,,,,,,,t,001,2021_Jan_06_2145,piloto1,2020.2.5,59.988542186745825,
400,0.02,imagenes/Nutella (1).jpg,0.8826531883338111,None,0,0,0,0,0,32,32,12,,,264.07339682999736,265.0731899000093,265.0731899000093,None,2.97265625,1.3721990000049118,265.0731899000093,None,,,,,,,,,,,,,t,001,2021_Jan_06_2145,piloto1,2020.2.5,59.988542186745825,
400,0.02,imagenes/Rosquitas (1).jpg,0.024090340010977873,None,0,0,0,0,0,33,33,17,,,265.490177159998,None,266.47432530000515,None,2.9856770833333335,2.565259099996183,266.47432530000515,None,,,,,,,,,,,,,t,001,2021_Jan_06_2145,piloto1,2020.2.5,59.988542186745825,
400,0.02,imagenes/pistachos.jpg,0.7450869742741464,None,0,0,0,0,0,34,34,30,,,268.0734157300103,269.07306609999796,269.0563196000003,None,3.623697916666667,1.2609319999901345,269.0563196000003,None,,,,,,,,,,,,,t,001,2021_Jan_06_2145,piloto1,2020.2.5,59.988542186745825,
400,0.02,imagenes/salchicha hojaldrada.jpg,0.7119773165481526,None,0,0,0,0,0,35,35,35,,,269.35613913001,None,270.3561408000096,None,3.65625,1.394022299995413,270.3561408000096,None,,,,,,,,,,,,,t,001,2021_Jan_06_2145,piloto1,2020.2.5,59.988542186745825,
400,0.02,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,t,001,2021_Jan_06_2145,piloto1,2020.2.5,59.988542186745825,
1000,0.0,imagenes/Rollos de canela.png,0.2610974409574519,None,0,1,1,3,0,0,0,34,,,270.78926925999986,None,271.7747199000005,None,3.65625,1.2354100000084145,271.7747199000005,None,,,,,,,,,,,,,t,001,2021_Jan_06_2145,piloto1,2020.2.5,59.988542186745825,
1000,0.0,imagenes/Papas picantes.jpg,0.524978898672612,None,0,1,1,3,0,1,1,27,,,272.0394618299979,273.039704099996,273.02328860000125,None,3.747395833333333,1.3480521000019507,273.02328860000125,None,,,,,,,,,,,,,t,001,2021_Jan_06_2145,piloto1,2020.2.5,59.988542186745825,
1000,0.0,imagenes/Chocoramo.jfif.jpg,0.7425528559884101,None,0,1,1,3,0,2,2,4,,,273.4227170600061,274.4226039000059,274.4226039000059,None,3.36328125,1.3410987999959616,274.4226039000059,None,,,,,,,,,,,,,t,001,2021_Jan_06_2145,piloto1,2020.2.5,59.988542186745825,
1000,0.0,imagenes/Popetas.jpg,0.9621625733302204,None,0,1,1,3,0,3,3,16,,,274.8225931900015,None,275.8063661000051,None,2.725260416666667,1.2462701000040397,275.8063661000051,None,,,,,,,,,,,,,t,001,2021_Jan_06_2145,piloto1,2020.2.5,59.988542186745825,
1000,0.0,imagenes/Chontaduro.png,0.8693553300418813,None,0,1,1,3,0,4,4,23,,,276.0891100299996,277.0893003000092,277.0893003000092,None,3.2916666666666665,1.3592243000020972,277.0893003000092,None,,,,,,,,,,,,,t,001,2021_Jan_06_2145,piloto1,2020.2.5,59.988542186745825,
1000,0.0,imagenes/Pescadito.png,0.7172825011486081,None,0,1,1,3,0,5,5,29,,,277.48924606000946,None,278.4724051000085,None,2.8880208333333335,1.3835982000018703,278.4724051000085,None,,,,,,,,,,,,,t,001,2021_Jan_06_2145,piloto1,2020.2.5,59.988542186745825,
1000,0.0,imagenes/Rosquitas (1).jpg,0.024090340010977873,None,0,1,1,3,0,6,6,17,,,278.9058278599987,None,279.88906990000396,None,3.40234375,2.1956150000041816,279.88906990000396,None,,,,,,,,,,,,,t,001,2021_Jan_06_2145,piloto1,2020.2.5,59.988542186745825,
1000,0.0,imagenes/Kiwi.jpg,0.3929145850942286,None,0,1,1,3,0,7,7,8,,,281.122394530008,None,282.12235099999816,None,3.897135416666667,1.1939281999948435,282.12235099999816,None,,,,,,,,,,,,,t,001,2021_Jan_06_2145,piloto1,2020.2.5,59.988542186745825,
1000,0.0,imagenes/Coliflor.jpg,0.3640740491088985,None,0,1,1,3,0,8,8,24,,,282.3389304299999,283.3389423000044,283.3389423000044,None,3.4609375,1.2599667000031332,283.3389423000044,None,,,,,,,,,,,,,t,001,2021_Jan_06_2145,piloto1,2020.2.5,59.988542186745825,
