Hertz,volumen,Imagenes,Random,Correcto,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,sound_3.started,sound_3.stopped,Sonido.started,Sonido.stopped,image_2.started,image_2.stopped,slider_2.response,slider_2.rt,slider_2.started,slider_2.stopped,text.started,text.stopped,text_2.started,text_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
1000,0.0,imagenes\Alpinito.jpg,0.4515332417045813,None,0,0,0,3,0,10,10,0,,,85.68770337999887,87.68817119999585,87.68817119999585,None,3.5390625,3.3754899999985355,87.68817119999585,None,,,,,l,001,2020_Sep_29_1334,piloto1,2020.2.3,60.05695801921577,
1000,0.0,imagenes\Papas-pollo.jpg,0.6683114062971784,None,0,0,0,3,0,11,11,15,,,89.10444523999905,None,91.08749679999892,None,3.532552083333333,2.9628511000046274,91.08749679999892,None,,,,,l,001,2020_Sep_29_1334,piloto1,2020.2.3,60.05695801921577,
1000,0.0,imagenes\Rosquitas (1).jpg,0.3035383390851263,None,0,0,0,3,0,12,12,17,,,92.12081840999527,94.12092829999892,94.10434429999441,None,3.5,6.867880800004059,94.10434429999441,None,,,,,l,001,2020_Sep_29_1334,piloto1,2020.2.3,60.05695801921577,
1000,0.0,imagenes\Mango.jpeg,0.555669112372461,None,0,0,0,3,0,13,13,10,,,99.02048623999582,101.0206279999984,101.00410169999668,None,3.5390625,7.349710000002233,101.00410169999668,None,,,,,l,001,2020_Sep_29_1334,piloto1,2020.2.3,60.05695801921577,
1000,0.0,imagenes\Uvas.jpg,0.7734382152670648,None,0,0,0,3,0,14,14,19,,,106.40359623999831,None,108.38681739999447,None,3.513020833333333,3.985265299997991,108.38681739999447,None,,,,,l,001,2020_Sep_29_1334,piloto1,2020.2.3,60.05695801921577,
1000,0.0,imagenes\Manzana.jpg,0.5168162194437935,None,0,0,0,3,0,15,15,11,,,110.43667150999609,112.43670419999398,112.43670419999398,None,3.4934895833333335,2.6260873999999603,112.43670419999398,None,,,,,l,001,2020_Sep_29_1334,piloto1,2020.2.3,60.05695801921577,
1000,0.0,imagenes\Leche-de-almendras.jpg,0.36073876480313727,None,0,0,0,3,0,16,16,9,,,113.18640248999947,115.1874891999978,115.1874891999978,None,3.4934895833333335,3.273865700000897,115.1874891999978,None,,,,,l,001,2020_Sep_29_1334,piloto1,2020.2.3,60.05695801921577,
1000,0.0,imagenes\Kiwi.jpg,0.5893907384852061,None,0,0,0,3,0,17,17,8,,,116.48655666999767,None,118.48673719999351,None,3.4934895833333335,6.054596900001343,118.48673719999351,None,,,,,l,001,2020_Sep_29_1334,piloto1,2020.2.3,60.05695801921577,
1000,0.0,imagenes\Brownie.jpg,0.17000143351927688,None,0,0,0,3,0,18,18,3,,,122.60264550999928,None,124.5864797999966,None,None,None,124.5864797999966,None,,,,,l,001,2020_Sep_29_1334,piloto1,2020.2.3,60.05695801921577,
1000,0.0,imagenes\Banano.jpeg,0.651633055306917,None,0,0,0,3,0,19,19,1,,,132.6024745399962,None,134.58638359999895,132.5922869999995,3.4934895833333335,2.867636599999969,134.58638359999895,132.5922869999995,,,,,l,001,2020_Sep_29_1334,piloto1,2020.2.3,60.05695801921577,
1000,0.0,,,,0,0,0,3,,,,,,,,,,,,,,,,,,,l,001,2020_Sep_29_1334,piloto1,2020.2.3,60.05695801921577,
1500,0.02,imagenes\Papas-pollo.jpg,0.6683114062971784,None,0,1,1,1,0,0,0,15,,,135.5020656399982,137.50215979999484,137.50215979999484,None,3.506510416666667,4.356843599998683,137.50215979999484,None,,,,,l,001,2020_Sep_29_1334,piloto1,2020.2.3,60.05695801921577,
1500,0.02,imagenes\Nutella (1).jpg,0.5277483225747329,None,0,1,1,1,0,1,1,12,,,139.88516937000023,141.88536599999497,141.88536599999497,None,None,None,141.88536599999497,None,,,,,l,001,2020_Sep_29_1334,piloto1,2020.2.3,60.05695801921577,
1500,0.02,imagenes\Banano.jpeg,0.651633055306917,None,0,1,1,1,0,2,2,1,,,149.90154163999688,151.90127659999416,151.88497669999924,149.89529169999878,3.506510416666667,3.4121360999997705,151.88497669999924,149.89529169999878,,,,,l,001,2020_Sep_29_1334,piloto1,2020.2.3,60.05695801921577,
1500,0.02,imagenes\Galletas-festival.jpg,0.36121121246191135,None,0,1,1,1,0,3,3,7,,,153.3679100099973,155.36768729999312,155.35133729999507,None,None,None,155.35133729999507,None,,,,,l,001,2020_Sep_29_1334,piloto1,2020.2.3,60.05695801921577,
1500,0.02,imagenes\Popetas.jpg,0.07650200324054446,None,0,1,1,1,0,4,4,16,,,163.41740204999587,165.4175890999977,165.40125389999594,163.40570189999562,3.5,3.1679541999983485,165.40125389999594,163.40570189999562,,,,,l,001,2020_Sep_29_1334,piloto1,2020.2.3,60.05695801921577,
1500,0.02,imagenes\Manzana.jpg,0.5168162194437935,None,0,1,1,1,0,5,5,11,,,166.65084517999784,None,168.6340471999938,None,3.4869791666666665,2.682035600002564,168.6340471999938,None,,,,,l,001,2020_Sep_29_1334,piloto1,2020.2.3,60.05695801921577,
