Hertz,volumen,Imagenes,Random,Correcto,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,mensaje_intro.started,mensaje_intro.stopped,mensaje_intro_2.started,mensaje_intro_2.stopped,textbox_prueba.started,textbox_prueba.stopped,sonido_prueba.started,sonido_prueba.stopped,image_prueba.started,image_prueba.stopped,slider_prueba.response,slider_prueba.rt,slider_prueba.started,slider_prueba.stopped,sonido_prueba_2.started,sonido_prueba_2.stopped,image_prueba_2.started,image_prueba_2.stopped,slider_prueba_2.response,slider_prueba_2.rt,slider_prueba_2.started,slider_prueba_2.stopped,textbox_prueba_2.started,textbox_prueba_2.stopped,sonido_exp.started,sonido_exp.stopped,image_exp.started,image_exp.stopped,slider_exp.response,slider_exp.rt,slider_exp.started,slider_exp.stopped,text_subasta1.started,text_subasta1.stopped,text_subasta2.started,text_subasta2.stopped,text.started,text.stopped,participant,session,date,expName,psychopyVersion,frameRate,
1500,0.02,imagenes/Kiwi.jpg,0.3929145850942286,None,0,0,0,1,0,10,10,8,,,,,,,,,,,,,,,,,,,,,,,,,42.51474907000666,43.5158223999897,43.4982509999536,None,1,1.0970926000154577,43.4982509999536,None,,,,,,,y,001,2021_Jan_08_2331,piloto1,2020.2.5,60.01529189404076,
1500,0.02,imagenes/Rosquitas (1).jpg,0.024090340010977873,None,0,0,0,1,0,11,11,17,,,,,,,,,,,,,,,,,,,,,,,,,43.63221867000102,44.63161099998979,44.63161099998979,None,1,1.0368434999836609,44.63161099998979,None,,,,,,,y,001,2021_Jan_08_2331,piloto1,2020.2.5,60.01529189404076,
1500,0.02,imagenes/Papas-limon.jpg,0.5280798509093595,None,0,0,0,1,0,12,12,14,,,,,,,,,,,,,,,,,,,,,,,,,44.6983297699655,45.69801719998941,45.69801719998941,None,1.0390625,1.239638399973046,45.69801719998941,None,,,,,,,y,001,2021_Jan_08_2331,piloto1,2020.2.5,60.01529189404076,
1500,0.02,imagenes/Rollos de canela.png,0.2610974409574519,None,0,0,0,1,0,13,13,34,,,,,,,,,,,,,,,,,,,,,,,,,45.98151443995303,None,46.965036499954294,None,1.0455729166666665,1.1180242999689654,46.965036499954294,None,,,,,,,y,001,2021_Jan_08_2331,piloto1,2020.2.5,60.01529189404076,
1500,0.02,imagenes/Uvas.jpg,0.4959291644143431,None,0,0,0,1,0,14,14,19,,,,,,,,,,,,,,,,,,,,,,,,,47.11520606997074,48.11530700000003,48.11530700000003,None,1.1041666666666665,1.4421264000120573,48.11530700000003,None,,,,,,,y,001,2021_Jan_08_2331,piloto1,2020.2.5,60.01529189404076,
1500,0.02,imagenes/Brownie.jpg,0.2838924074864093,None,0,0,0,1,0,15,15,3,,,,,,,,,,,,,,,,,,,,,,,,,48.59827314000577,49.59790569997858,49.59790569997858,None,1.1236979166666665,2.058307799976319,49.59790569997858,None,,,,,,,y,001,2021_Jan_08_2331,piloto1,2020.2.5,60.01529189404076,
1500,0.02,imagenes/Chocoramo.jfif.jpg,0.7425528559884101,None,0,0,0,1,0,16,16,4,,,,,,,,,,,,,,,,,,,,,,,,,50.6979934400064,None,51.68119569995906,None,1.1236979166666665,0.9969614999718033,51.68119569995906,None,,,,,,,y,001,2021_Jan_08_2331,piloto1,2020.2.5,60.01529189404076,
1500,0.02,imagenes/Alpinito.jpg,0.7416150880621702,None,0,0,0,1,0,17,17,0,,,,,,,,,,,,,,,,,,,,,,,,,51.74777950997814,52.74794179998571,52.74794179998571,None,1.1236979166666665,1.2906473000184633,52.74794179998571,None,,,,,,,y,001,2021_Jan_08_2331,piloto1,2020.2.5,60.01529189404076,
1500,0.02,imagenes/Popetas.jpg,0.9621625733302204,None,0,0,0,1,0,18,18,16,,,,,,,,,,,,,,,,,,,,,,,,,53.08103623995558,54.08138379995944,54.08138379995944,None,1.1236979166666665,1.13713230000576,54.08138379995944,None,,,,,,,y,001,2021_Jan_08_2331,piloto1,2020.2.5,60.01529189404076,
1500,0.02,imagenes/Galletas Tosh.jpg,0.9129693753280027,None,0,0,0,1,0,19,19,6,,,,,,,,,,,,,,,,,,,,,,,,,54.2648651399999,None,55.24775589996716,None,1,1.7665228000259958,55.24775589996716,None,,,,,,,y,001,2021_Jan_08_2331,piloto1,2020.2.5,60.01529189404076,
1500,0.02,imagenes/Brocoli.jpg,0.24293074945529525,None,0,0,0,1,0,20,20,21,,,,,,,,,,,,,,,,,,,,,,,,,56.04805936997873,57.047729999991134,57.03117709996877,None,1.0,1.0973140000132844,57.03117709996877,None,,,,,,,y,001,2021_Jan_08_2331,piloto1,2020.2.5,60.01529189404076,
1500,0.02,imagenes/Almojabanas.png,0.6725051200713246,None,0,0,0,1,0,21,21,20,,,,,,,,,,,,,,,,,,,,,,,,,57.18102783998475,58.181045999983326,58.181045999983326,None,1.0,1.2905323999584652,58.181045999983326,None,,,,,,,y,001,2021_Jan_08_2331,piloto1,2020.2.5,60.01529189404076,
1500,0.02,imagenes/Canelazo.png,0.6730479360767814,None,0,0,0,1,0,22,22,22,,,,,,,,,,,,,,,,,,,,,,,,,58.53086031000712,None,59.51413699996192,None,1.0,1.3003528999979608,59.51413699996192,None,,,,,,,y,001,2021_Jan_08_2331,piloto1,2020.2.5,60.01529189404076,
1500,0.02,imagenes/Papas-naturales.jpg,0.37590629905521566,None,0,0,0,1,0,23,23,13,,,,,,,,,,,,,,,,,,,,,,,,,59.84753236997058,60.84758469997905,60.84758469997905,None,1.0,1.038712800014764,60.84758469997905,None,,,,,,,y,001,2021_Jan_08_2331,piloto1,2020.2.5,60.01529189404076,
