Hertz,volumen,Imagenes,Random,Correcto,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,mensaje_intro.started,mensaje_intro.stopped,mensaje_intro_2.started,mensaje_intro_2.stopped,textbox_prueba.started,textbox_prueba.stopped,sonido_prueba.started,sonido_prueba.stopped,image_prueba.started,image_prueba.stopped,slider_prueba.response,slider_prueba.rt,slider_prueba.started,slider_prueba.stopped,sonido_prueba_2.started,sonido_prueba_2.stopped,image_prueba_2.started,image_prueba_2.stopped,slider_prueba_2.response,slider_prueba_2.rt,slider_prueba_2.started,slider_prueba_2.stopped,sonido_exp.started,sonido_exp.stopped,image_exp.started,image_exp.stopped,slider_exp.response,slider_exp.rt,slider_exp.started,slider_exp.stopped,text_subasta1.started,text_subasta1.stopped,text_subasta2.started,text_subasta2.stopped,text.started,text.stopped,text_4.started,text_4.stopped,text_producto.started,text_producto.stopped,image.started,image.stopped,texto_final.started,texto_final.stopped,participant,session,date,expName,psychopyVersion,frameRate,
1000,0.02,imagenes/Popetas.jpg,0.9621625733302204,None,0,0,0,2,0,28,28,16,,,,,,,,,,,,,,,,,,,,,,,54.19977491000609,55.20026740001049,55.20026740001049,None,5.947916666666666,1.1905274000018835,55.20026740001049,None,,,,,,,,,,,,,,,t,001,2021_Jan_08_1844,piloto1,2020.2.5,59.91450201025426,
1000,0.02,imagenes/Pepinillos.png,0.0038966441241518046,None,0,0,0,2,0,29,29,28,,,,,,,,,,,,,,,,,,,,,,,55.43311963999295,None,56.416420800000196,None,5.947916666666666,1.052810799999861,56.416420800000196,None,,,,,,,,,,,,,,,t,001,2021_Jan_08_1844,piloto1,2020.2.5,59.91450201025426,
1000,0.02,imagenes/Nutella (1).jpg,0.8826531883338111,None,0,0,0,2,0,30,30,12,,,,,,,,,,,,,,,,,,,,,,,56.5003139700013,57.499902400013525,57.499902400013525,None,5.947916666666666,1.1042295999941416,57.499902400013525,None,,,,,,,,,,,,,,,t,001,2021_Jan_08_1844,piloto1,2020.2.5,59.91450201025426,
1000,0.02,imagenes/Brocoli.jpg,0.24293074945529525,None,0,0,0,2,0,31,31,21,,,,,,,,,,,,,,,,,,,,,,,57.63320206999488,58.63326669999515,58.61636559999897,None,5.947916666666666,1.3113257999939378,58.61636559999897,None,,,,,,,,,,,,,,,t,001,2021_Jan_08_1844,piloto1,2020.2.5,59.91450201025426,
1000,0.02,imagenes/Croissant.jpg,0.5824748589948932,None,0,0,0,2,0,32,32,5,,,,,,,,,,,,,,,,,,,,,,,58.983320639998425,None,59.966386099986266,None,5.947916666666666,1.1301570999785326,59.966386099986266,None,,,,,,,,,,,,,,,t,001,2021_Jan_08_1844,piloto1,2020.2.5,59.91450201025426,
1000,0.02,imagenes/Pescadito.png,0.7172825011486081,None,0,0,0,2,0,33,33,29,,,,,,,,,,,,,,,,,,,,,,,60.132921370011175,61.13354879998951,61.13354879998951,None,5.947916666666666,1.240888600004837,61.13354879998951,None,,,,,,,,,,,,,,,t,001,2021_Jan_08_1844,piloto1,2020.2.5,59.91450201025426,
1000,0.02,imagenes/Brownie.jpg,0.2838924074864093,None,0,0,0,2,0,34,34,3,,,,,,,,,,,,,,,,,,,,,,,61.416667440009775,None,62.41603610001039,None,5.947916666666666,1.1732272999943234,62.41603610001039,None,,,,,,,,,,,,,,,t,001,2021_Jan_08_1844,piloto1,2020.2.5,59.91450201025426,
1000,0.02,imagenes/Papas-naturales.jpg,0.37590629905521566,None,0,0,0,2,0,35,35,13,,,,,,,,,,,,,,,,,,,,,,,62.616523370004145,63.616626600007294,63.616626600007294,None,5.947916666666666,1.2233339000085834,63.616626600007294,None,,,,,,,,,,,,,,,t,001,2021_Jan_08_1844,piloto1,2020.2.5,59.91450201025426,
1000,0.02,,,,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,t,001,2021_Jan_08_1844,piloto1,2020.2.5,59.91450201025426,
1500,0.02,imagenes/Croissant.jpg,0.5824748589948932,None,0,1,1,1,0,0,0,5,,,,,,,,,,,,,,,,,,,,,,,63.88308453999926,64.88398949999828,64.88398949999828,None,5.947916666666666,1.1900486000231467,64.88398949999828,None,,,,,,,,,,,,,,,t,001,2021_Jan_08_1844,piloto1,2020.2.5,59.91450201025426,
