Hertz,volumen,Imagenes,Random,Correcto,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,sound_3.started,sound_3.stopped,Sonido.started,Sonido.stopped,image_2.started,image_2.stopped,slider_2.response,slider_2.rt,slider_2.started,slider_2.stopped,text.started,text.stopped,participant,session,date,expName,psychopyVersion,frameRate,
1000,0.0,imagenes\Rosquitas (1).jpg,0.3035383390851263,None,0,1,1,3,0,19,19,17,,,127.0123820000008,129.01255220000166,128.9984534000032,None,3.545572916666667,2.7965783000036026,128.9984534000032,None,,,a,001,2020_Sep_29_1303,piloto1,2020.2.3,60.00852121115023,
1000,0.0,,,,0,1,1,3,,,,,,,,,,,,,,,,,a,001,2020_Sep_29_1303,piloto1,2020.2.3,60.00852121115023,
1000,0.02,imagenes\Manzana.jpg,0.5168162194437935,None,0,2,2,2,0,0,0,11,,,129.87914789999923,None,131.87939760000154,None,3.545572916666667,2.4903896000032546,131.87939760000154,None,,,a,001,2020_Sep_29_1303,piloto1,2020.2.3,60.00852121115023,
1000,0.02,imagenes\Rosquitas (1).jpg,0.3035383390851263,None,0,2,2,2,0,1,1,17,,,132.4121651000023,134.4126213999989,134.4126213999989,None,3.545572916666667,2.4572934999960125,134.4126213999989,None,,,a,001,2020_Sep_29_1303,piloto1,2020.2.3,60.00852121115023,
1000,0.02,imagenes\Nutella (1).jpg,0.5277483225747329,None,0,2,2,2,0,2,2,12,,,134.8954784000016,136.89566030000424,136.89566030000424,None,3.545572916666667,2.788550999997824,136.89566030000424,None,,,a,001,2020_Sep_29_1303,piloto1,2020.2.3,60.00852121115023,
1000,0.02,imagenes\Croissant.jpg,0.6152458173421255,None,0,2,2,2,0,3,3,5,,,137.74525410000206,139.74540540000453,139.72906019999937,None,3.5390625,2.413976099996944,139.72906019999937,None,,,a,001,2020_Sep_29_1303,piloto1,2020.2.3,60.00852121115023,
1000,0.02,imagenes\Chocoramo.jfif.jpg,0.7789437122019539,None,0,2,2,2,0,4,4,4,,,140.2618042000031,None,142.24697279999964,None,3.5390625,2.62761870000395,142.24697279999964,None,,,a,001,2020_Sep_29_1303,piloto1,2020.2.3,60.00852121115023,
1000,0.02,imagenes\Papas-naturales.jpg,0.15856838916280946,None,0,2,2,2,0,5,5,13,,,142.91193909999856,144.91202540000086,144.91202540000086,None,3.5390625,2.4371430999963195,144.91202540000086,None,,,a,001,2020_Sep_29_1303,piloto1,2020.2.3,60.00852121115023,
1000,0.02,imagenes\Yogurt-alpina.jpg,0.21540995091807813,None,0,2,2,2,0,6,6,18,,,145.39515240000037,None,147.3785852000001,None,3.5390625,2.452004799997667,147.3785852000001,None,,,a,001,2020_Sep_29_1303,piloto1,2020.2.3,60.00852121115023,
1000,0.02,imagenes\Brownie.jpg,0.17000143351927688,None,0,2,2,2,0,7,7,3,,,147.8949092000039,None,149.87873519999994,None,3.5390625,2.648466600003303,149.87873519999994,None,,,a,001,2020_Sep_29_1303,piloto1,2020.2.3,60.00852121115023,
