Hertz,volumen,Imagenes,Random,Correcto,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,text.started,text.stopped,sound_3.started,sound_3.stopped,Sonido.started,Sonido.stopped,image_2.started,image_2.stopped,slider_2.response,slider_2.rt,slider_2.started,slider_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
400,0.02,imagenes\Rosquitas (1).jpg,0.3035383390851263,None,0,0,0,0,0,17,17,17,,,,,97.3700309799984,None,99.37005190004129,None,2.9986979166666665,3.2757867999607697,99.37005190004129,None,hola1,001,2020_Sep_22_1421,piloto1,2020.2.3,60.27208021936762,
400,0.02,imagenes\Leche-de-almendras.jpg,0.36073876480313727,None,0,0,0,0,0,18,18,9,,,,,100.75362704002764,None,102.75385680003092,None,2.9986979166666665,6.276524699991569,102.75385680003092,None,hola1,001,2020_Sep_22_1421,piloto1,2020.2.3,60.27208021936762,
400,0.02,imagenes\Croissant.jpg,0.6152458173421255,None,0,0,0,0,0,19,19,5,,,,,107.06982478001154,None,109.06966560008004,None,2.9986979166666665,2.907357700052671,109.06966560008004,None,hola1,001,2020_Sep_22_1421,piloto1,2020.2.3,60.27208021936762,
400,0.02,,,,0,0,0,0,,,,,,,,,,,,,,,,,hola1,001,2020_Sep_22_1421,piloto1,2020.2.3,60.27208021936762,
1000,0.02,imagenes\Nutella (1).jpg,0.5277483225747329,None,0,1,1,2,0,0,0,12,,,,,110.00312779006781,None,112.00272089999635,None,2.9986979166666665,7.021294999984093,112.00272089999635,None,hola1,001,2020_Sep_22_1421,piloto1,2020.2.3,60.27208021936762,
1000,0.02,imagenes\Leche-de-almendras.jpg,0.36073876480313727,None,0,1,1,2,0,1,1,9,,,,,117.13920964004937,None,119.12132130004466,None,2.9986979166666665,2.8332197999116033,119.12132130004466,None,hola1,001,2020_Sep_22_1421,piloto1,2020.2.3,60.27208021936762,
1000,0.02,imagenes\Alpinito.jpg,0.4515332417045813,None,0,1,1,2,0,2,2,0,,,,,120.03805145998486,None,122.0213325000368,None,2.9986979166666665,3.0947939000325277,122.0213325000368,None,hola1,001,2020_Sep_22_1421,piloto1,2020.2.3,60.27208021936762,
1000,0.02,imagenes\Uvas.jpg,0.7734382152670648,None,0,1,1,2,0,3,3,19,,,,,123.15484659002395,None,125.15406690002419,None,2.9986979166666665,2.758021399960853,125.15406690002419,None,hola1,001,2020_Sep_22_1421,piloto1,2020.2.3,60.27208021936762,
1000,0.02,imagenes\Kiwi.jpg,0.5893907384852061,None,0,1,1,2,0,4,4,8,,,,,125.93875769003061,None,127.91762019996531,None,2.9986979166666665,2.5091754000168294,127.91762019996531,None,hola1,001,2020_Sep_22_1421,piloto1,2020.2.3,60.27208021936762,
1000,0.02,imagenes\Popetas.jpg,0.07650200324054446,None,0,1,1,2,0,5,5,16,,,,,128.48524908002003,None,130.48629769997206,None,2.9986979166666665,2.5064030999783427,130.48629769997206,None,hola1,001,2020_Sep_22_1421,piloto1,2020.2.3,60.27208021936762,
1000,0.02,imagenes\Banano.jpeg,0.651633055306917,None,0,1,1,2,0,6,6,1,,,,,131.01850719006035,None,133.01833510003053,None,2.9986979166666665,2.5084498999640346,133.01833510003053,None,hola1,001,2020_Sep_22_1421,piloto1,2020.2.3,60.27208021936762,
1000,0.02,imagenes\Manzana.jpg,0.5168162194437935,None,0,1,1,2,0,7,7,11,,,,,133.58518756999402,None,135.56845780008007,None,2.9986979166666665,2.6823086999356747,135.56845780008007,None,hola1,001,2020_Sep_22_1421,piloto1,2020.2.3,60.27208021936762,
1000,0.02,imagenes\Galletas-festival.jpg,0.36121121246191135,None,0,1,1,2,0,8,8,7,,,,,136.30159647997937,None,138.28556760004722,None,2.9986979166666665,2.9986054999753833,138.28556760004722,None,hola1,001,2020_Sep_22_1421,piloto1,2020.2.3,60.27208021936762,
1000,0.02,imagenes\bon-bon-bun.jpg,0.7387922093313524,None,0,1,1,2,0,9,9,2,,,,,139.3349358800566,None,141.33754259999841,None,2.9986979166666665,2.893803699989803,141.33754259999841,None,hola1,001,2020_Sep_22_1421,piloto1,2020.2.3,60.27208021936762,
1000,0.02,imagenes\Mango.jpeg,0.555669112372461,None,0,1,1,2,0,10,10,10,,,,,142.28821666996228,None,144.27140369999688,None,2.9986979166666665,2.4332316999789327,144.27140369999688,None,hola1,001,2020_Sep_22_1421,piloto1,2020.2.3,60.27208021936762,
1000,0.02,imagenes\Rosquitas (1).jpg,0.3035383390851263,None,0,1,1,2,0,11,11,17,,,,,144.75477828006262,None,146.73429190006573,None,2.9986979166666665,2.8120940999360755,146.73429190006573,None,hola1,001,2020_Sep_22_1421,piloto1,2020.2.3,60.27208021936762,
1000,0.02,imagenes\Croissant.jpg,0.6152458173421255,None,0,1,1,2,0,12,12,5,,,,,147.60085697998295,None,149.5847968000453,None,2.9986979166666665,4.313343200017698,149.5847968000453,None,hola1,001,2020_Sep_22_1421,piloto1,2020.2.3,60.27208021936762,
1000,0.02,imagenes\Papas-pollo.jpg,0.6683114062971784,None,0,1,1,2,0,13,13,15,,,,,151.93634868996452,None,153.93668559996877,None,2.9986979166666665,3.8419367999304086,153.93668559996877,None,hola1,001,2020_Sep_22_1421,piloto1,2020.2.3,60.27208021936762,
1000,0.02,imagenes\Papas-limon.jpg,0.020692288100133793,None,0,1,1,2,0,14,14,14,,,,,155.802655290009,None,157.80102650006302,None,2.9986979166666665,2.6913439999334514,157.80102650006302,None,hola1,001,2020_Sep_22_1421,piloto1,2020.2.3,60.27208021936762,
